
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000600                       # Number of seconds simulated (Second)
simTicks                                    599895500                       # Number of ticks simulated (Tick)
finalTick                                   599895500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      9.79                       # Real time elapsed on the host (Second)
hostTickRate                                 61274347                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8605008                       # Number of bytes of host memory used (Byte)
simInsts                                      2096856                       # Number of instructions simulated (Count)
simOps                                        3719850                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   214174                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     379947                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                         1199792                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              0.959509                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              1.042200                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                        2517658                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                     101                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                       2453351                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                  3168                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined              238826                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined           382773                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved                 65                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples            1064487                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              2.304726                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             2.207208                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                   310138     29.13%     29.13% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                   143071     13.44%     42.58% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                   195852     18.40%     60.97% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                   138208     12.98%     73.96% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                    99719      9.37%     83.33% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                    53510      5.03%     88.35% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                    58559      5.50%     93.85% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                    37268      3.50%     97.35% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                    28162      2.65%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total              1064487                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu                  50733     96.99%     96.99% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                     0      0.00%     96.99% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                      0      0.00%     96.99% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                    0      0.00%     96.99% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%     96.99% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    0      0.00%     96.99% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult                   0      0.00%     96.99% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMultAcc                0      0.00%     96.99% # attempts to use FU when none available (Count)
