
---------- Begin Simulation Statistics ----------
simSeconds                                   0.022222                       # Number of seconds simulated (Second)
simTicks                                  22222480500                       # Number of ticks simulated (Tick)
finalTick                                 22222480500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    237.26                       # Real time elapsed on the host (Second)
hostTickRate                                 93662599                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8556720                       # Number of bytes of host memory used (Byte)
simInsts                                     57085217                       # Number of instructions simulated (Count)
simOps                                      105801507                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   240601                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     445929                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         44444962                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.778572                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.284402                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       106909149                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      187                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      127812820                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   7715                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              1107823                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           1684388                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  97                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            44316024                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.884122                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              3.087510                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  19956003     45.03%     45.03% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   2429809      5.48%     50.51% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    973185      2.20%     52.71% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    954322      2.15%     54.86% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   3361916      7.59%     62.45% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   7445278     16.80%     79.25% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1350030      3.05%     82.30% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    964407      2.18%     84.47% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   6881074     15.53%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              44316024                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                    3732      0.08%      0.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      0.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      0.08% # attempts to use FU when none available (Count)
