
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000187                       # Number of seconds simulated (Second)
simTicks                                    187224500                       # Number of ticks simulated (Tick)
finalTick                                   187224500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      1.10                       # Real time elapsed on the host (Second)
hostTickRate                                170190542                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8553648                       # Number of bytes of host memory used (Byte)
simInsts                                       119491                       # Number of instructions simulated (Count)
simOps                                         230092                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   108603                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     209125                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                           374450                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               3.133709                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.319111                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                          338582                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     1347                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                         303123                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    666                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               109831                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            203941                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 105                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples              264046                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.147993                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.028267                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    178038     67.43%     67.43% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                     18661      7.07%     74.49% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                     14694      5.56%     80.06% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                     13128      4.97%     85.03% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                     11454      4.34%     89.37% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                      9956      3.77%     93.14% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                      9753      3.69%     96.83% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                      5320      2.01%     98.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                      3042      1.15%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total                264046                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                    3606     62.16%     62.16% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     62.16% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     62.16% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     62.16% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     62.16% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     62.16% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     62.16% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     62.16% # attempts to use FU when none available (Count)
