label,core_type,benchmark,cpu_type,branch_predictor,l1_size,l2_size,ipc0,ipc1,sim_sec,L1_MPKI0,L1_MPKI1,L1_miss0%,L1_miss1%,L2_miss%,BP_miss0%,BP_miss1%
dual_dijkstra_DerivO3CPU_l132_l2256_static,dual,dijkstra,DerivO3CPU,static,32,256,0.875892,0.883632,0.000714,26.389469803418525,26.175942061206488,12.022881294177658,11.93268610301972,76.74418604651163,2.3474048634193196,2.349827960258129
dual_dijkstra_TimingSimpleCPU_l132_l2256_static,dual,dijkstra,TimingSimpleCPU,static,32,256,0.258913,0.258907,0.002415,6.020690576167853,6.017491909372174,2.8942775646397627,2.8927398955922716,77.26502485314053,,
dual_interf_DerivO3CPU_l132_l2256_static,dual,interf,DerivO3CPU,static,32,256,1.0422,1.278378,0.0006,23.0785902050746,4.39373228595766,10.531079054253778,1.3929464994681409,68.24110832050555,2.3519552879171415,1.7514609264089274
dual_interf_TimingSimpleCPU_l132_l2256_static,dual,interf,TimingSimpleCPU,static,32,256,0.27156,0.268619,0.002302,5.839166235513038,1.833457769041026,2.8070148461946536,0.5586109591407757,68.68395773294908,,
dual_matmul_DerivO3CPU_l132_l2256_static,dual,matmul,DerivO3CPU,static,32,256,0.852379,0.88537,0.033513,116.91608814246318,110.51501794729467,39.727650348910856,37.536326848778295,7.804976792605574,0.49988919659600406,0.5014089885489696
dual_matmul_TimingSimpleCPU_l132_l2256_static,dual,matmul,TimingSimpleCPU,static,32,256,0.238685,0.221772,0.128809,10.917955719622817,21.52626077756185,3.740106809314129,7.374138216051689,47.9874947782614,,
dual_rand_DerivO3CPU_l132_l2256_static,dual,rand,DerivO3CPU,static,32,256,0.56409,0.564958,0.000135,13.408415208017484,13.467483116422848,5.516254455124743,5.537564766839378,96.40162507254789,3.6445744816181147,3.6472232812301435
dual_rand_TimingSimpleCPU_l132_l2256_static,dual,rand,TimingSimpleCPU,static,32,256,0.209169,0.209206,0.000364,6.168586146930473,6.201397775371592,2.360148639148338,2.3727026212714675,97.12116418854792,,
dual_sort_DerivO3CPU_l132_l2256_static,dual,sort,DerivO3CPU,static,32,256,1.281525,1.280023,0.000331,4.337023721901202,4.275589444173372,1.3749733133073896,1.3558979123892876,86.16391399189779,1.74665279910191,1.7455350139130865
dual_sort_TimingSimpleCPU_l132_l2256_static,dual,sort,TimingSimpleCPU,static,32,256,0.268474,0.268691,0.001576,1.907882923325552,1.9031575167043124,0.5812865328687841,0.5798468139019264,87.63011797362942,,
single_dijkstra_DerivO3CPU_l1128_l2256_TAGE,single,dijkstra,DerivO3CPU,TAGE,128,256,1.093161,,0.000572,12.300637464282087,,5.656859139389481,,80.1727925025626,2.350114528681204,
single_dijkstra_DerivO3CPU_l1128_l2256_static,single,dijkstra,DerivO3CPU,static,128,256,1.094071,,0.000571,12.322230157314765,,5.638214565387627,,80.30125767768354,2.3533639671889772,
single_dijkstra_DerivO3CPU_l132_l2256_TAGE,single,dijkstra,DerivO3CPU,TAGE,32,256,1.07641,,0.000581,22.90664839018476,,10.50483193662553,,60.82200861783228,2.333434182202609,
single_dijkstra_DerivO3CPU_l132_l2256_static,single,dijkstra,DerivO3CPU,static,32,256,1.075899,,0.000581,22.969027281168053,,10.47974545905671,,61.0062893081761,2.3512100543572343,
single_dijkstra_TimingSimpleCPU_l1128_l2256_static,single,dijkstra,TimingSimpleCPU,static,128,256,0.27708,,0.002257,4.197450502630503,,2.0178062075699446,,79.86793611793611,,
single_dijkstra_TimingSimpleCPU_l132_l2256_static,single,dijkstra,TimingSimpleCPU,static,32,256,0.273915,,0.002283,5.820773901437881,,2.798173249171581,,60.80185938407902,,
single_matmul_DerivO3CPU_l1128_l2256_TAGE,single,matmul,DerivO3CPU,TAGE,128,256,1.453098,,0.019643,29.834203835994877,,10.12175462400426,,22.374321140327254,0.526302818143554,
single_matmul_DerivO3CPU_l1128_l2256_static,single,matmul,DerivO3CPU,static,128,256,1.453111,,0.019642,29.835342484552523,,10.121606157362859,,22.374829569676265,0.528143408191399,
single_matmul_DerivO3CPU_l132_l2256_TAGE,single,matmul,DerivO3CPU,TAGE,32,256,1.284383,,0.022223,31.40362941950453,,10.653881887165246,,29.873851423179264,0.5263412795407232,
single_matmul_DerivO3CPU_l132_l2256_static,single,matmul,DerivO3CPU,static,32,256,1.284402,,0.022222,31.406765082455586,,10.654382776723285,,29.873053728763605,0.5281019969064327,
single_matmul_TimingSimpleCPU_l1128_l2256_static,single,matmul,TimingSimpleCPU,static,128,256,0.232332,,0.122853,28.799397449724456,,9.855824698372103,,21.617337726231522,,
single_matmul_TimingSimpleCPU_l132_l2256_static,single,matmul,TimingSimpleCPU,static,32,256,0.213752,,0.133532,29.581612000316508,,10.123516739520172,,29.72779958760203,,
single_rand_DerivO3CPU_l1128_l2256_TAGE,single,rand,DerivO3CPU,TAGE,128,256,0.320997,,0.000186,25.55004142571407,,6.009251057966735,,98.7300435413643,8.657396722824833,
single_rand_DerivO3CPU_l1128_l2256_static,single,rand,DerivO3CPU,static,128,256,0.319111,,0.000187,25.98522064423262,,6.011151120919967,,98.73737373737374,9.032366446410572,
single_rand_DerivO3CPU_l132_l2256_TAGE,single,rand,DerivO3CPU,TAGE,32,256,0.317797,,0.000188,29.039844004987824,,6.795394015353282,,87.36334405144694,8.716193278261853,
single_rand_DerivO3CPU_l132_l2256_static,single,rand,DerivO3CPU,static,32,256,0.316623,,0.000189,29.341121925500666,,6.769123836737846,,87.31629392971246,9.042523546787049,
single_rand_TimingSimpleCPU_l1128_l2256_static,single,rand,TimingSimpleCPU,static,128,256,0.149776,,0.000399,10.899570039984608,,2.7878217334560005,,99.00358708648864,,
single_rand_TimingSimpleCPU_l132_l2256_static,single,rand,TimingSimpleCPU,static,32,256,0.148776,,0.000402,12.823515634149198,,3.2799161299985022,,88.7459807073955,,
single_sort_DerivO3CPU_l1128_l2256_TAGE,single,sort,DerivO3CPU,TAGE,128,256,1.359588,,0.000311,3.615170958599204,,1.1504321639779387,,98.58849077090119,1.662586614663292,
single_sort_DerivO3CPU_l1128_l2256_static,single,sort,DerivO3CPU,static,128,256,1.353799,,0.000313,3.671879522655662,,1.164817125959906,,98.55855855855856,1.7411908457448566,
